protein_group_id,pocket_id,pocket_pdb,representative_protein_pdb,pocket_residue_count,merged_source_count,merged_source_ids_file,dataset_label
protein_group_000012,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_protein.pdb,56,20,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_pocket-2_source_ids.txt,template
protein_group_000012,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_protein.pdb,14,1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000012/protein_group_000012_pocket-3_source_ids.txt,template
protein_group_000013,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000013/protein_group_000013_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000013/protein_group_000013_protein.pdb,105,89,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000013/protein_group_000013_pocket-1_source_ids.txt,template
protein_group_000014,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_protein.pdb,106,65,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_pocket-1_source_ids.txt,template
protein_group_000014,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_protein.pdb,67,3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_pocket-2_source_ids.txt,template
protein_group_000014,pocket-3,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_pocket-3.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_protein.pdb,43,7,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000014/protein_group_000014_pocket-3_source_ids.txt,template
protein_group_000015,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000015/protein_group_000015_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000015/protein_group_000015_protein.pdb,100,62,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000015/protein_group_000015_pocket-1_source_ids.txt,template
protein_group_000015,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000015/protein_group_000015_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000015/protein_group_000015_protein.pdb,39,12,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000015/protein_group_000015_pocket-2_source_ids.txt,template
protein_group_000016,pocket-1,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000016/protein_group_000016_pocket-1.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000016/protein_group_000016_protein.pdb,146,51,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000016/protein_group_000016_pocket-1_source_ids.txt,template
protein_group_000016,pocket-2,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000016/protein_group_000016_pocket-2.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000016/protein_group_000016_protein.pdb,51,22,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000016/protein_group_000016_pocket-2_source_ids.txt,template
